TIC ID,TOI,CTOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,Pipeline Signal ID,Source,Detection,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Stellar Metallicity,Stellar Metallicity error,Stellar Mass (M_Sun),Stellar Mass error,Sectors,Comments,Date TOI Alerted (by TESS Project),Date TOI Updated (by TESS Project),Date Modified (by ExoFOP-TESS)
362709886,4420.01,,3,4,3,3,3,4,4,140.4,201.3,1,0,1,PC,PC,9.550201,0.006,1,qlp,QLP,246.799613,-69.344037,4.587,0.036,13.679,0.046,2459386.781,0.0005036,4.7259465,0.0000049,2.978,0.235,7.24426,0.17705,6650,163.056,19.3465,2.7441,1388.33,1700,115,230.661,1.5785,6203,124.8,3.98,0.08,1.86,0.08,,,1.19,0.172051,"12,39",Large planet candidate. V-shaped. Secondary seen is only 500 ppm so may still be planetary. Gaia RV error is only 500 m/s.,2021/8/27,2021/8/26,2022/8/19
207339000,4427.01,TIC 207339000.01,3,4,4,3,3,4,4,79.5,236.8,3,15,1,PC,PC,11.3427,0.006,1,qlp-s47-tois,SPOC,135.049261,72.147747,37.526,0.032,-19.985,0.035,2459598.713,0.0002366,4.6182616,0.000002,2.414,0.064,23.486971,0.001448,21400,1.33353,13.5562,0.792296,123.939,929,174,198.251,0.9255,5328,136.083,4.50337,0.0818582,0.89,0.05,,,0.919,0.113044,"14,20,40,47",,2021/9/9,2022/6/28,2022/8/19
233188747,4429.01,TIC 233188747.01,3,4,3,3,1,4,4,40.1,103,2,0,0,PC,PC,12.7714,0.006,1,qlp-s49-tois,SPOC,225.589638,70.949594,4.614,0.035,-16.482,0.028,2459660.116,0.0003821,3.45057,0.0000023,2.924,0.074,17.048929,0.001151,15580,1.05988,13.3411,0.723178,356.594,1210,108,461.898,3.5425,5402,121.807,4.37462,0.082245,1.04,0.06,,,0.94,0.116914,"14,15,16,20,21,22,40,41,47,48,49",,2021/9/9,2022/7/13,2022/8/19
420268415,4436.01,TIC 420268415.01,3,4,3,3,3,4,4,99.1,129.9,8,2,1,PC,PC,11.8931,0.011,1,qlp-s47-tois,SPOC,308.426581,87.009328,1.679,0.033,6.066,0.038,2459605.778,0.0003385,1.7590583,0.000001,3.412,0.039,12.162976,0.000267,11140,0.24583,21.6496,0.99582,3419.4,2130,254,621.061,7.1225,6250,136.01,3.91912,0.082032,2,0.09,,,1.21,0.169129,"18,19,20,25,26,40,47",evolved host star; secondary consistent with inflated planet,2021/9/9,2022/6/28,2022/8/19
322046084,4449.01,,3,4,3,3,3,4,4,95.8,246.6,4,2,2,PC,PC,10.3446,0.006,1,qlp,SPOC/QLP,278.326026,25.395158,6.43,0.029,-19.931,0.041,2459413.79,0.0003444,2.7518942,0.0000882,1.259,0.151,10.659801,0.003585,9770,3.30194,12.9899,0.655784,209.138,1059,127,213.604,1.191,5856,131,4.25,0.07,1.28,0.06,,,1.058,0.127536,40,v-shaped,2021/9/9,2021/11/23,2022/8/19
229671380,4458.01,TIC 229671380.01,3,4,3,3,3,4,4,35.3,81.4,2,2,2,PC,PC,11.0672,0.007,1,qlp-s51-tois,SPOC,252.125998,74.76375,-0.535,0.034,-13.443,0.048,2459711.665,0.0005189,3.9393773,0.0000031,5.61,0.057,4.471571,0.000087,4110,0.0801398,13.625,0.654098,1680.38,1783,111,505.432,5.05,5904.4,122,3.84,0.08,2.1,0.1,,,1.11,0.143863,"14,15,16,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51",,2021/9/9,2022/9/2,2022/9/2
157236902,4465.01,,1,4,1,3,4,4,4,,,21,15,5,PC,PC,9.85277,0.006,1,qlp-s40-ffi,QLP,276.134031,15.841886,-54.422,0.078,43.693,0.083,2459395.125,0.0043832,,,12.002,0.095,14.779288,0.000256,13520,0.236121,11.62,0.611949,130.528,941,257,121.139,0.6105,5557,128.8,4.44,0.08,0.99,0.05,,,0.979,0.127108,"26,40,53",radius consistent with planet; still a single transit as of s53,2021/9/9,2022/8/31,2022/9/1
256364928,4470.01,,5,5,5,5,5,5,5,1203,2849.2,0,0,3,KP,KP,6.8481,0.006,1,qlp,SPOC/QLP,300.182122,22.709776,-3.294,0.043,-250.225,0.049,2459444.28,0.0000528,2.2185706,0.0000066,1.507,0.002,29.327417,0.000018,26650,0.0167344,13.5327,0.968906,155.633,983,1236,19.7638,0.01275,5023,142.5,4.58,0.1,0.78,0.06,0.02,0.1,0.84,0.10566,41,HD 189733 b,2021/10/7,2021/10/6,2022/8/19
99224131,4486.01,,5,5,5,5,5,5,5,100.8,131.1,0,0,1,KP,KP,9.93225,0.006,1,qlp,SPOC/QLP,305.441329,26.692676,-9.203,0.04,1.901,0.042,2459443.774,0.0005818,2.6915832,0.0000046,4.115,0.175,7.747158,0.001349,7110,1.24206,17.1105,0.738997,3927.77,2205,174,350.351,3.517,6955,139.1,4.04,0.09,1.96,0.08,,,1.522,0.249355,"14,41",HAT-P-49 b,2021/10/7,2021/10/6,2022/8/17
85593751,4516.01,,5,5,5,5,5,5,5,98,289.2,0,0,0,KP,KP,10.9332,0.006,1,spoc,SPOC,47.368947,30.673382,3.856,0.267,-44.826,0.213,2459450.011,0.000287004,3.722655696,9.03E-05,2.594993466,0.030054843,21.818278,0.158259,19894.81067,145.75131,11.45128775,0.9745253,184.975241,940.5852197,156.81589,124.73,2.078,4926,136.738,4.51771,0.104576,0.820640028,0.0690754,0.19,0.1,0.809,0.101693,42,WASP-11 b,2021/10/21,2021/10/21,2022/8/19
