TOI,p_value,Period (d),Rp (R_Earth),Planet Eq Temp (K),Planet SNR,Distance (pc),Stellar Teff (K),R_star (R_Sun),M_star (M_Sun)
1295.01,,3.196885,15.3227,1668,298,388.227,6470,1.6,1.32
1296.01,,3.9443709,14.9312,1512,190,323.265,5494,1.75,0.963
1297.01,,3.93034,14.8838,,140,283.32,6292,1.37,
1298.01,,4.5371434,10.0571,1321,130,319.036,5731,1.49,1.02
1299.01,,5.929405,,,381,,,,
1300.01,,2.8716968,18.3265,2113,363,321.376,6840,1.91,1.48
1302.01,,5.6666161,14.8118,1279,319,339.455,6530,1.47,1.346
1307.01,,2.5346123,,1199,207,,5009.6,,
1310.01,,2.6796,11.8862,1492,120,247.975,5938,1.32,1.084
1312.01,,11.0765435,13.1631,1049,101,316.176,6460,1.86,1.26
1337.01,,3.344911508,20.55221943,2266.599568,134.65346,427.678,9364,1.759559989,2.38
1341.01,,6.4474972,19.6202,1378,215,236.568,6477.6,1.69,1.407
1344.01,,13.7431768,13.1594,859,243,121.182,5941.5,1.37,
1351.01,,5.9294028,,,323,125.308,,,
1355.01,,2.17026,15.6224,2825,272,248.148,9218,1.85,2.336
1365.01,,1.8286,22.8859,2996,108,244.318,6046.3,1.29,1.484
1371.01,,5.01036,23.8353,1610,148,302.295,6527,1.81,1.46
1373.01,,3.85288,14.9692,1607,176,275.358,6893.4,1.57,1.499
1385.01,,4.52318,,,191,324.346,,,
1388.01,,4.46491,15.2857,1273,124,158.979,6051.2,1.18,1.126
1397.01,,8.67911,13.0786,1255,101,194.993,6057,1.18,1.263
1401.01,,7.3845072,23.6091,,686,383.166,6149.2,1.43,
1419.01,,2.8997405,10.0433,1015,191,134.554,5224,0.82,0.89
1420.01,,6.956113367,12.09082297,872.4987884,124.317764,201.918,5387,0.940037,0.935
1425.01,,1.031833571,18.63788304,2249.15632,194.26457,153.904,5810.6,1.49433,1.105
1427.01,,12.80758,11.4222,643,123,72.6157,5094.4,0.63,
1431.01,0.010,2.65,16.59,2186.44,276,148.93,7400.00,1.94,1.76
1454.01,,2.679411,13.999,1521,142,289.372,6075,1.14,1.136
1455.01,,3.6231461,34.0676,2033,190,245.692,6458.8,1.35,1.378
1456.01,,18.7121918,9.9352,862,207,80.6665,6125,1.27,1.16
1458.01,,2.77598,14.6552,1551,108,226.637,6140,1.24,1.164
1465.01,,1.4200248,12.5242,1231,424,185.615,4910,0.77,0.804
1478.01,,10.1802065,11.1607,852,176,152.892,5623,1.04,0.996
1482.01,,5.71204,15.6047,1523,138,318.277,6720,1.79,1.43
1494.01,,5.0267882,13.2051,1347,101,278.514,6434,1.48,1.3
1498.01,,1.39787,28.9755,3702,233,265.402,8014,1.6,1.94
1518.01,,1.90261,19.7606,3284,342,225.888,9918,1.82,2.537
1519.01,,1.09589,10.0668,3715,118,294.851,6083,0.68,
1521.01,,4.18106,16.9776,1599,114,317.752,6146,2.31,1.166
1567.01,,,21.0557,,295,86.1112,4503.5,0.86,0.71
1580.01,,4.79539,18.0648,1576,126,233.22,6333,2.18,1.252
1612.01,,2.8639524,15.1475,1400,433,234.149,6082,1.53,1.139
1615.01,,3.94018,24.0533,1543,107,260.494,7170,1.52,1.69
1627.01,,5.017211185,13.34133214,1143.947649,152.71378,290.404,5930,1.100129962,1.12
1628.01,,2.143635155,17.98426426,1949.02186,143.61957,454.144,6148,1.770609975,1.17
1644.01,,1.8497201,11.2477,,107,163.49,6019,1.24,
1645.01,,2.172141624,18.08503472,1677.748591,219.95511,146.653,6198,1.30937,1.189
