time,flux,flux_err,time_original,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
-0.29152809440370053,0.9999090446335103,0.0005955911313479837,1395.3955356555962,0,1.466816e-03,744.82596,1000.03238,1877220,7.0914609e+04,4.1856098e+01,1.2845184e+03,5.2585864e-01,7.6513578e+04,4.5574955e+01,0,nan,nan,nan,nan,744.82596,7.2468078e-04,1000.03238,6.3692150e-04,-4.4826133e-04,3.2315138e-03
-0.2914147996487972,1.0006434409497842,0.0005898511890745634,1409.8012726503512,0,8.315103e-04,744.83284,1000.03282,1898371,7.1589094e+04,4.2017570e+01,1.3441179e+03,5.2660793e-01,7.7460211e+04,4.5660618e+01,0,nan,nan,nan,nan,744.83284,7.2342856e-04,1000.03282,6.3020078e-04,-3.0485792e-03,2.0601021e-02
-0.291256842092901,1.0000161216476855,0.0005792638806266558,1388.192995057907,0,1.771218e-03,744.82522,1000.02883,1866645,7.3523508e+04,4.2474693e+01,1.2583268e+03,5.2616191e-01,7.9373219e+04,4.5977295e+01,0,nan,nan,nan,nan,744.82522,6.9987652e-04,1000.02883,6.1892852e-04,9.3965558e-05,-9.1862888e-04
-0.29117134378506376,1.0005243118691465,0.0005835467053604048,1438.6127635062148,0,-4.083338e-04,744.85738,1000.00021,1940673,7.3130352e+04,4.2436951e+01,1.5298647e+03,5.2973670e-01,7.8915719e+04,4.6026878e+01,0,nan,nan,nan,nan,744.85738,7.2002085e-04,1000.00021,6.1707426e-04,-3.3818844e-03,3.2303445e-02
-0.29113600675206963,0.9992091811809568,0.0005921901443231359,1460.2212343932479,0,-1.156047e-03,744.86208,999.96074,1972399,7.2344078e+04,4.2368603e+01,1.7486331e+03,5.3372669e-01,7.8076328e+04,4.6272625e+01,0,nan,nan,nan,nan,744.86208,7.3157949e-04,999.96074,6.2779774e-04,2.1156457e-03,-1.7280106e-02
-0.291128062521258,0.9999823288446192,0.0005908702703379448,1402.5987475374786,0,1.151997e-03,744.82974,1000.03327,1887796,7.1883312e+04,4.2079029e+01,1.3167240e+03,5.2662188e-01,7.7488250e+04,4.5786312e+01,0,nan,nan,nan,nan,744.82974,7.1822188e-04,1000.03327,6.2943768e-04,-3.0255821e-04,5.1902304e-03
-0.2909117567625887,0.9992767196442699,0.000581674468100698,1431.4102112432374,0,-1.147968e-04,744.85476,1000.00723,1930098,7.3278680e+04,4.2455421e+01,1.4710255e+03,5.2893686e-01,7.8976555e+04,4.5971897e+01,0,nan,nan,nan,nan,744.85476,7.1790669e-04,1000.00723,6.1515451e-04,1.6548756e-03,-1.6303921e-02
-0.2908470237419419,0.9989388451740503,0.0005953240665468671,1395.396216726258,0,1.466786e-03,744.82807,1000.03155,1877221,7.0845523e+04,4.1840214e+01,1.2845385e+03,5.2587008e-01,7.6438984e+04,4.5554306e+01,0,nan,nan,nan,nan,744.82807,7.2520575e-04,1000.03155,6.3754042e-04,-4.5412034e-04,3.2412743e-03
-0.2907337300928979,1.0005368889651638,0.0005897996893651827,1409.801953719907,0,8.314799e-04,744.83353,1000.03333,1898372,7.1581562e+04,4.2016247e+01,1.3440834e+03,5.2664632e-01,7.7452031e+04,4.5656670e+01,0,nan,nan,nan,nan,744.83353,7.2309450e-04,1000.03333,6.3033093e-04,-3.0505573e-03,2.0603662e-02
-0.2905757702597455,0.9998242658042468,0.0005792275662087578,1388.1936761297402,0,1.771190e-03,744.82513,1000.02744,1866646,7.3508422e+04,4.2470997e+01,1.2583167e+03,5.2616084e-01,7.9356969e+04,4.5973820e+01,0,nan,nan,nan,nan,744.82513,6.9959887e-04,1000.02744,6.1902753e-04,9.5789437e-05,-9.2788774e-04
-0.29049027070773026,0.9994666936525234,0.0005833359213906033,1438.6134445792923,0,-4.083607e-04,744.85555,1000.00011,1940674,7.3054594e+04,4.2420589e+01,1.5298853e+03,5.2974153e-01,7.8834062e+04,4.6011280e+01,0,nan,nan,nan,nan,744.85555,7.2098704e-04,1000.00011,6.1783812e-04,-3.3784718e-03,3.2290328e-02
-0.29045492642783927,0.9999823373903312,0.0005923246259613864,1460.2219154735722,0,-1.156066e-03,744.86274,999.96212,1972400,7.2401492e+04,4.2381180e+01,1.7487078e+03,5.3373605e-01,7.8138188e+04,4.6283989e+01,0,nan,nan,nan,nan,744.86274,7.3119538e-04,999.96212,6.2728469e-04,2.1116997e-03,-1.7270708e-02
-0.29044709267516805,1.0001538936980288,0.0005914593925258218,1402.5994285073248,0,1.151967e-03,744.82946,1000.03675,1887797,7.1896336e+04,4.2124901e+01,1.3166991e+03,5.2662295e-01,7.7502250e+04,4.5832378e+01,0,nan,nan,nan,nan,744.82946,7.1768218e-04,1000.03675,6.3000811e-04,-3.0583853e-04,5.1903464e-03
-0.29023058528498885,0.9998865154006424,0.0005817504712355411,1431.410892414715,0,-1.148253e-04,744.85578,1000.00784,1930099,7.3320414e+04,4.2461716e+01,1.4710101e+03,5.2893192e-01,7.9021781e+04,4.5976177e+01,0,nan,nan,nan,nan,744.85578,7.1755331e-04,1000.00784,6.1474351e-04,1.6602110e-03,-1.6304513e-02
-0.2901658530794217,1.0004246663113048,0.0005955920754712044,1395.3968978969206,0,1.466757e-03,744.82777,1000.03245,1877222,7.0950875e+04,4.1862980e+01,1.2845585e+03,5.2588153e-01,7.6552656e+04,4.5574802e+01,0,nan,nan,nan,nan,744.82777,7.2396931e-04,1000.03245,6.3653709e-04,-4.5998019e-04,3.2510359e-03
-0.2900526604788771,0.9990849496153461,0.0005894575564763546,1409.802634789521,0,8.314495e-04,744.83479,1000.03131,1898373,7.1477508e+04,4.1993980e+01,1.3440488e+03,5.2668470e-01,7.7339672e+04,4.5630207e+01,0,nan,nan,nan,nan,744.83479,7.2458526e-04,1000.03131,6.3115387e-04,-3.0525352e-03,2.0606304e-02
-0.2898947984345951,1.0004160009042453,0.0005793724255883399,1388.1943571015654,0,1.771162e-03,744.82634,1000.02920,1866647,7.3551258e+04,4.2480843e+01,1.2583066e+03,5.2615982e-01,7.9403258e+04,4.5984928e+01,0,nan,nan,nan,nan,744.82634,6.9911871e-04,1000.02920,6.1874971e-04,9.7613040e-05,-9.3714526e-04
-0.28980909765860985,0.999832965025024,0.000583441850891821,1438.6141257523414,0,-4.083877e-04,744.85510,999.99860,1940675,7.3082555e+04,4.2427231e+01,1.5299058e+03,5.2974635e-01,7.8864336e+04,4.6020439e+01,0,nan,nan,nan,nan,744.85510,7.2083942e-04,999.99860,6.1754574e-04,-3.3750585e-03,3.2277208e-02
-0.28977374598625966,0.9996317933147161,0.0005921780710906793,1460.2225966540136,0,-1.156086e-03,744.86038,999.96131,1972401,7.2377578e+04,4.2373558e+01,1.7487822e+03,5.3374535e-01,7.8112305e+04,4.6273434e+01,0,nan,nan,nan,nan,744.86038,7.3125993e-04,999.96131,6.2769523e-04,2.1077530e-03,-1.7261310e-02
-0.2897659228201391,1.0010728576957828,0.0005913082913699229,1402.6001096771797,10000000000000,1.151937e-03,744.83034,1000.03389,1887798,7.1963500e+04,4.2117184e+01,1.3166742e+03,5.2662396e-01,7.7574695e+04,4.5821400e+01,10000000000000,nan,nan,nan,nan,744.83034,7.1725535e-04,1000.03389,6.2917726e-04,-3.0911985e-04,5.1904623e-03
